"","Model","RMSE","R2","MAE"
"1","enet.ch",7.39028609202287,0.739273551165993,4.39591764712416
"2","ridge.ch",7.65579652877862,0.722124119707668,5.0960296820075
"3","lasso.ch",7.39326849659213,0.739071909085097,4.38553256417943
"4","knn.ch",7.95345938566355,0.700403255243708,5.24847106790027
"5","enet.tr.ch",6.98516419224998,0.763068603700354,4.26641461044709
"6","ridge.tr.ch",7.54570149907958,0.72642455340078,5.02987420113308
"7","lasso.tr.ch",6.99095324461695,0.762674888402464,4.26145450587588
"8","knn.tr.ch",6.74774563758398,0.782700341375414,4.46914381749407
